Timestamp,Country,VS Date,VS Time,VS Model,VS Low Wind,VS High Wind,VS Avrg Wind kph,VS Low Gust,VS High Gust,VS Avrg Gust kph,VS Gust m/s,Possibly Underestimated,Intensity (length * Avrg Gust),Highline length (in m),Connected main and backup?,"If yes, how many and how long were the individual pieces? (in m)",Direct height (in m),"Please give us some information about the type of terrain. Was the line in a canyon, on a cliff, in a forest, etc?",Estimated highline tension (in kN),Highline webbing (main and backup),Tape material?,Stand. Tape Material,Tape width (in mm),How old were the tapes?,How far apart were the tapes (in m)?,Backup Width (m),One Large Loop,Did the tapes slide on main or backup?,How big were the backup loops?,Loopiness (1-3),"Time of rigging (hours:minutes, dd/mm/yyyy)","Time of detaping (hours:minutes, dd/mm/yyyy)","If unknown, last time the line was seen intact (hours:minutes, dd/mm/yyyy)","And the time it was found destroyed / detaped (hours:minutes, dd/mm/yyyy)","If you witnessed the detaping, how long did it take until the line was uncontrollable / fully seperated main and backup?",Subjective wind speed,Stand. Subj. Wind,Recorded wind speed - steady (prediction or record) in km/h,Recorded wind speed - gusts (prediction or record) in km/h,Stand. Reported Windspeed,Is there anything else you would like us to know about the wind or the weather in general?,Description of damage to webbing / anchors,"How was the line derigged? Cut, failed, normal derig?  ",Any other information?,Detape,Damage,Anchor Damage,Line Damage,Derig Method,Normal Derig,Cut,Failed,Failed Line,Failed Anchors,Control
4/16/2020 1:33:34,United States,27/10/2018,20:00,HRRR,3,38,20.5,35,81,58,16.111124,0,8700,150,No,,50,"Line is along a cliff line from two jutting out rock points, but is partially within a small cove. The cliff line runs along a large river gorge about 300m below.",3,"Skypilot, Lion",Electrical tape (vinyl),Electrical,15,,3-5,4,,Main,Large,3,"14:00, 22/10/2018","16:30, 27/10/2018",,"18:00, 27/10/2018",,"Very windy. Winds were noticeably picking up, and people had just gotten off all lines due to the wind.",Dangerous,,,,,"Both lines were cut, and suffered some abrasion from the trees but were deemed usable for more rigs by the owners (I would say this was questionable). Little damage to anchors if any.",Cut,"This is one of three lines cut/failed that day, this line was feature in the ISA ""fail friday"" wind video. It was the first cut. ",1,Line,0,1,Cut,0,1,0,0,0,0
4/16/2020 1:33:38,United States,27/10/2018,20:00,HRRR,3,38,20.5,35,81,58,16.111124,0,17632,304,No,,100,Line is along a cliff line from two jutting out rock points (one a tower like feature). The cliff line runs along a large river gorge about 300m below.,4,"Type 18 (Balancing Earth) Main, Type 18 MkII (Balance Community) Backup",Fibre-reinforced tape,Fibre,15,Less than 1 week,4-6,5,,Main,Moderate Loopiness for this length.,2,"19:43, 22/09/2018",,"17:00, 27/10/2018","19:30, 27/10/2018","We didn't witness the detaping as we were dealing with another line, but one tape had broken at 17:00, and line was fully detaped by 19:00 or 19:30","Very windy, ""difficult to breath"" while on the line, right on the verge of dangerous while walking, and wind escalated soon afterwards",Dangerous,,,,estimated the winds at 50mph gusts and 30mph steady,"Anchors were in good condition. Aside from the cut ends, there was significant damage to both pieces of webbing from getting blown into the trees (and the process of getting them out). Some usable lengths up to 100m but much of the webbing was trashed.",Main and backup were cut with a knife,This is one of three lines cut/failed that day. It was the second cut. Line was impacting a nearby cliff edge before being cut.,1,Line,0,1,Cut,0,1,0,0,0,0
4/16/2020 1:33:41,United States,27/10/2018,20:00,HRRR,3,38,20.5,35,81,58,16.111124,0,3480,60,No,,80,Line is along a cliff line but tucked in a steep cove. The cliff line runs along a large river gorge about 300m below. The cove this line is in opens up to one side of the large gorge and is sheltered from the other.,3,"Marathon, Type 18 (Balancing Earth)",Electrical tape (vinyl),Electrical,15,,2-4,3,,Main,Moderate,2,"12:00, 22/09/2018","20:00, 27/10/2018","17:00, 27/10/2018","10:00, 27/11/2018",Line was intact at 5pm. It was detaped by 8pm or so. It was left up remained in tact through morning (barely),Extremely windy. Wind continued through the night.,Dangerous,,,,,"The high tech anchor rope (technora sheath) was found with numerous core shots. It had eaten through a yoga mat and some rotten logs, and other tree pro had fallen off the cliff. Both webbings had fully slipped and loaded their tie offs. There was moderate damage to the webbing from main/backup abrasion. ",Normal Derig ,"This is one of three lines cut/failed that day. This line in a similar anchor setup had fully failed earlier in the week when every strand of the bfk had been cut through. After cutting the 300m and 150m lines detailed in other reports, two separate groups came to add padding to the anchor that had previously failed, but the entire group was too tired to derig, so it was left overnight. In the morning it was found the anchor that had been repadded twice was near failure and the line derigged normally. ",1,Both,1,1,Normal Derig,1,0,0,0,0,0
4/16/2020 12:53:57,USA,27/11/2019,14:00,HRRR,36,40,38,54,58,56,15.555568,0,7280,130,No,,120,Fruitbowl  canyon,3,Cumulus and parsec,Fibre-reinforced tape,Fibre,20,5 or 6 days,4 or 5,4.5,,Backup,A 10m loop had not been taped the previous day and in the gusts the tapes started sliding to the sides or ripped,2,23/11/2019,"14:00, 27/11/2019",,,"about 20min from one broken tape to half the line detaped, line got derigged before it fully detaped","gusts up to 60km/h I guess not very string constant wind, the other lines did not get closed...the wind was dangerous on partly detaped lines",Dangerous,,,60,it had snowed the previous night,no damage to webbing or anchor as it was derigged quite quickly,"normal derigg (after a few tapes broke the decision was made to tension the backup so the line wouldn't interfere with any other lines rigged nearby if it were to fully detape, this helped to stop further detaping and after a derig plan was made and a short period with less wind arrived the line was derigged quickly by many people to be able to pull as efficiently as possible without having to give too much slack...",:) ,1,None,0,0,Normal Derig,1,0,0,0,0,0
4/16/2020 14:09:18,Israel,10/11/2019,20:00,ICON,17,20,18.5,24,30,27,7.500006,1,5400,200,No,,70,"East-West canyon, no vegetation",4,Marathon/pinktube,Electrical tape (vinyl),Electrical,15,Second use,5,5,,Backup,not much,1,"14:00, 10/11/2019","18:30, 10/11/2019","18:00, 10/11/2019","18:30, 10/11/2019",20 minutes,40km/h,Strong,12,27,27,Funnel... wind was completely not uniform,"Full detape, some abrasion on back-up",Lowered to the ground,,1,Line,0,1,Normal Derig,1,0,0,0,0,0
4/16/2020 14:15:58,Australia,22/03/2020,14:00,ICON,7,9,8,27,32,29.5,8.194451,0,11800,400,Yes,200,160,cliff / forest,2,Aero 2 / Feather Pro,"Electrical tape (vinyl), Fibre-reinforced tape",Both,20,Brand new,,,,,10,3,March 2020,,,,,Moderate maybe 25 kph but stronger over by the line,Moderate,,,,,None,The line detaped and was oscillating as we were derigged it in time. No damage to the webbing.,,1,None,0,0,Normal Derig,1,0,0,0,0,1
4/16/2020 14:17:00,UK,08/03/2020,20:00,ICON,22,23,22.5,36,41,38.5,10.694453,0,7700,200,No,,60,"East-west quarry, little vegetation",4,Marathon/half marathon,Electrical tape (vinyl),Electrical,15,"some old, some new",5,5,,Backup,medium,2,"12:00, 08/03/2020",,"18:00, 08/03/2020","23:00, 13/03/2020",,,,45,66,66,,"Webbing OK but detaped, anchors destroyed: ground stakes pulled, rope shredded, bfk melted",normal,https://drive.google.com/drive/u/1/folders/1M-Ga2Wrp7E9yUofjt0Xg_UdmF8Gx6EVr,1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
4/16/2020 15:22:11,Tunisia,14/10/2019,20:00,ICON,17,20,18.5,48,55,51.5,14.305567,0,14420,280,Yes,"Not so sure anymore, 2 bartack for sure. One main line, 1 bartack every 80m roughly.",,"The line was in a canyon, but also at the highest point of  this canyon.",,Skye and maybe some other I don't remember (check my first declaration in sair :P),"Combination of electrical tape, and fibre tape every 3 tapes.",Both,20,New,Randomly between 2 and 5.,3.5,,Main,about 60cm probably,1,"Started at 12h, someday in october, check my sair contribution for the day.",unknown,When we left the spot the same day at about 19:00,The morning after at about 10:00,It was already all detaped when we found it,"When we left the spot the wind was completely fine. The morning when we found the line, the wind was crazy.",Dangerous,Hemm .. not sure but I think it was like 50km/h,,,We should have check the weather forecast !!!,webbing burned and destroyed in many places. Bartak partially unsewn. A spanset with 3/4 of its fibers cut.,"Neither. We engineered a detensioning system with the gear we add (pulleys, beaners, ropes and line grip), to find a way to detention the webbing safely, and fast, while it was still oscillating. Really scary though. We mannage to get hand on a 300m rope thanks to locals that we use to get back the webing.","Maybe add to the form an option were you can choose to describe the damage to an other line of the spot. It will be easier to report it, instead of filling again this form :)
Also maybe ask if someone was injured during the deriging.",1,Both,1,1,Normal Derig,1,0,0,0,0,0
4/16/2020 17:45:54,New Zealand,25/11/2017,17:00,ICON,17,18,17.5,21,23,22,6.111116,1,5280,240,No,,50,ridge wind possible from both sides,3,Main webbing - Moonwalk - Backup webbing Marathon,not sure most likely electrical tape,Electrical,20,new,3,3,,Backup,relatively small ...spot isn't very high for the length,1,"16:00, 25/11/2017","15:00, 26/11/2017",,,guessing approx. 30min and another 45min till derigg,60km/h,Dangerous,,,,"When we removed the gear, all the anchors were wet, so I guess there was a located rain in the spot (spot was in the clouds for a while). Backup webbing got heavier and wind increased quite fast (New Zealand weather changes very fast).",Both webbings got damaged in one place (but not severly/where both lines were still connected with the last remaining tape) and coloured black in the place where the aluminium of the linelocker (AWL 3.0) was touching it. No injuries or incidents except cutting the webbing to derigg.,"In order to release the webbings the backup (Marathon) was cut and let go. It crossed the Road (potential traffic incident, but nothing happened), and was recovered by the team. Main line was detensioned and lowered using ropes and the rings to take it to the ground. Intense wind stayed during this procedure.",,1,Line,0,1,Cut,0,1,0,0,0,0
4/17/2020 0:03:31,Australia,8/10/2019,8:00,ICON,34,45,39.5,56,69,62.5,17.361125,0,3125,50,No,0,75,Ocean cliff,,"aero main, lift backup",Electrical tape (vinyl),Electrical,15,,,,,Main,,,,,,,No detaping,Crazy strong,Dangerous,,Steady wind,,,,Failed anchor,"The line was left overnight and was found failed in the morning. The line was found hanging on one side of the cliff, and it was found that the anchor rope was sewn through after rope pro slid off.",0,Anchor,1,0,Failed,0,0,1,0,1,0
4/24/2020 21:35:41,Polen,29/10/2017,8:00,ICON,40,41,40.5,110,112,111,30.833358,0,3663,33,No,,25,On a top of a hill with forest everywhere ,3,Rubber2 and octopussi,Electrical tape (vinyl),Electrical,,1week,2–3,2.5,,Main,"Not saggy, almost to tight",1,"18:00, 27/09/2017",Unknown,"18:00, 28/10/2017","11:00, 29/10/2017",Unknown,,,"Unknown, but violent",Afterwards 190 km/h online weather history ,190,"The wind was at night and much stronger than expected, trees was falling done at night","Nothing,everting was fine","Some hours later Normal derig, when the wind was less strong",In the morning it was impossible to derig the line. It was impossible to open the soft release and shackle because of the powerful shacking highline.,0,None,0,0,Normal Derig,1,0,0,0,0,0
4/24/2020 21:40:01,France,21/04/2019,5:00,ICON,15,18,16.5,31,45,38,10.555564,0,4180,110,No,,300,canyon,3,"Rubber Band main, Spectre backup",Electrical tape (vinyl),Electrical,20,new,2,2,,Backup,"The line was derigged two times. The first in the morning we found most of the tapes broken, the wind was really strong. The loops were not so big, but probably one was a bit bigger and start to broke all the other. The second time  was also raining hard, and the tape start to slide and create a big loop, tha tbring all the tape to one side of the line. This time we tape really good, was impossible to broke it. but the glue of the tape was shittyans the gusts of wind were so hard that we had to pay a lot of attention to moved close to the void.",1,"if I remember well, first rigging evening of 20/04/2019, second rigging evening of 23/04/2019",night after rigging both times,,"early morning of the day after the rigging, both times","when we woke up for the noise, the line wasn't totally detaped, but every minute the big loop became bigger"," absolutely dangerous wind (mostly upward gusts). I feel dangerous during the derigging. The wind caused uncontrolled movement on the line, working on the anchore, even with rain, it scared me. ",Dangerous,"no idea,  incessant with very strong gusts",,,"
the weather has changed very quickly, we was unprepared","no damage on the webbing, damage on the slings for abrasion on the rock","first time, for the tension the backup less dangerous, so, we derigged before the main with a tagline and later the backup. the second time we derigged main and backup together using before a rope and after a tagline but the tagline broked. by the way the wind was so strong from down to up that we was able take all the webbing on one side without touching the rock",I just have a couple of video of the first time that we found the line detaped. I'll send them. Ciao :),1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
4/24/2020 21:40:01,France,24/04/2019,5:00,ICON,20,21,20.5,48,55,51.5,14.305567,0,5665,110,No,,300,canyon,3,"Rubber Band main, Spectre backup",Electrical tape (vinyl),Electrical,20,new,2,2,,Backup,"The line was derigged two times. The first in the morning we found most of the tapes broken, the wind was really strong. The loops were not so big, but probably one was a bit bigger and start to broke all the other. The second time  was also raining hard, and the tape start to slide and create a big loop, tha tbring all the tape to one side of the line. This time we tape really good, was impossible to broke it. but the glue of the tape was shittyans the gusts of wind were so hard that we had to pay a lot of attention to moved close to the void.",2,"if I remember well, first rigging evening of 20/04/2019, second rigging evening of 23/04/2019",night after rigging both times,,"early morning of the day after the rigging, both times","when we woke up for the noise, the line wasn't totally detaped, but every minute the big loop became bigger"," absolutely dangerous wind (mostly upward gusts). I feel dangerous during the derigging. The wind caused uncontrolled movement on the line, working on the anchore, even with rain, it scared me. ",Dangerous,"no idea,  incessant with very strong gusts",,,"
the weather has changed very quickly, we was unprepared","no damage on the webbing, damage on the slings for abrasion on the rock","first time, for the tension the backup less dangerous, so, we derigged before the main with a tagline and later the backup. the second time we derigged main and backup together using before a rope and after a tagline but the tagline broked. by the way the wind was so strong from down to up that we was able take all the webbing on one side without touching the rock",I just have a couple of video of the first time that we found the line detaped. I'll send them. Ciao :),1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
4/25/2020 15:02:30,Australia,05/11/19,17:00,ICON,21,23,22,35,38,36.5,10.138897,0,8212.5,225,No,,50,In a gully next to the Bluffs at Mt Arapiles,1.5,"Aero 2, Feather Pro Backup","Electrical tape (vinyl), Fibre-reinforced tape",Both,25,new,3-6m,4.5,,Main,around 0.5m to 1.5m,1,"2pm, 05/11/19","5pm, 05/11/19",,,2 hours,20-30. Too windy to walk on the line.,Strong,not sure,possibly 40km,40,"consistent, coming from one side, made rigging difficult",,normal derig,"We used electric tape underneath fibre-reinforced tape thinking it would give the best of both worlds. Unfortunately, the adhesive of the electrical tape ended up slipping and all the tapes that we thought had broken had bunched up to one end of the line that had the biggest backup loop.",0,None,0,0,Normal Derig,1,0,0,0,0,1
4/25/2020 18:22:30,Italy,april 2018??,,,,,,,,,0,0,0,200,No,,80,Desert area in Iran - rock cliffs,2,core hs main - strong II backup ,Electrical tape (vinyl),Electrical,,,,,,Non-sliding,,,,,,,,90 km/h,Dangerous,,90 km/h,,,"exploded 2t spanset.
Spanset burned in the connection point with the quicklink, due to heat generated by friction
Webbing destroyed in some point, completely stucked into the weblock",failed. everything was messed up,,1,Both,1,1,Failed,0,0,1,1,1,0
4/27/2020 18:28:24,United States,20/08/2019,17:00,HRRR,6,11,8.5,22,22,22,6.111116,1,4400,200,No,,65,The line crossed a wooded side canyon than runs at an angle to a larger canyon.,3,"Rubberband, Rubberband",Electrical tape (vinyl),Electrical,15,A mix of relatively new and some weeks/months old,4-6,5,,Main,Moderate,2,,,,"19:00, 20/08/2019",,Only a slight breeze,Minor,,,,,,Cut,"Line was found almost totally delaminated (tapes broken), and was showing chaotic behavior despite subjectively low winds. The line was cut before failure, but serious damage to the webbing was found near each anchor. “There was only a slight breeze but the line was being thrashed and the first 30m of the line coming from each anchor were wrecked when we pulled the webbing back after cutting it. Since one tape was left at each anchor the lines kept swirling around each other and destroying each other”",1,Line,0,1,Cut,0,1,0,0,0,0
4/27/2020 23:27:58,USA,17/6/2018,20:00,HRRR,14,20,17,22,36,29,8.055562,1,5800,200,No,n/a,250,bowl shaped canyon with 200m+ sheer cliffs,4,feather pro and feather pro ,Electrical tape (vinyl),Electrical,20,I  believe new? ,3-6 ,4.5,,Backup,"Around 2 meters, there was no noticeably bigger loop until the wind started.",2,14:00 6/14/2018 est.,20:00 6/17/2018 est.,20:00 6/17/2018 est. ,20:00 6/17/2018 est. ,We we're at camp around 300m further down the cliff when we started to clearly hear the 'whomping' noise of the line moving significantly. Upon inspection the wind had stated to push the backup slowly into one larger loop near the tensioning anchor.   The wind was still low enough that it was safe for someone to go and add more tapes which eliminated the line oscillating. ,I would guess 25 mph. Too windy to want to session but safe enough for someone to go on the line to add tapes. The wind did not feel dangerous. ,Strong,Sorry we did not. ,n/a,40,Nope,There was no reported damage and we continued to session safely for 3-4 more days. ,Normal derig a few days later. ,"The bowl shape of the canyon (similar to taft point) seemed to push wind up through the canyon. While the taping was inadequate (normal for shorter lines but no double tapes or fiber tapes considering it was a 200m line left in an exposed spot for a week),  I believe the way the wind pushed up and towards the line is why it started to oscillate with seemingly minor winds. ",1,None,0,0,Normal Derig,1,0,0,0,0,1
