Timestamp,Country,VS Date,VS Time,VS Model,VS Low Wind,VS High Wind,VS Avrg Wind kph,VS Low Gust,VS High Gust,VS Avrg Gust kph,VS Gust m/s,Possibly Underestimated,Intensity (length * Avrg Gust),Highline length (in m),Connected main and backup?,"If yes, how many and how long were the individual pieces? (in m)",Direct height (in m),"Please give us some information about the type of terrain. Was the line in a canyon, on a cliff, in a forest, etc?",Estimated highline tension (in kN),Highline webbing (main and backup),Tape material?,Stand. Tape Material,Tape width (in mm),How old were the tapes?,How far apart were the tapes (in m)?,Backup Width (m),One Large Loop,Did the tapes slide on main or backup?,How big were the backup loops?,Loopiness (1-3),"Time of rigging (hours:minutes, dd/mm/yyyy)","Time of detaping (hours:minutes, dd/mm/yyyy)","If unknown, last time the line was seen intact (hours:minutes, dd/mm/yyyy)","And the time it was found destroyed / detaped (hours:minutes, dd/mm/yyyy)","If you witnessed the detaping, how long did it take until the line was uncontrollable / fully seperated main and backup?",Subjective wind speed,Stand. Subj. Wind,Recorded wind speed - steady (prediction or record) in km/h,Recorded wind speed - gusts (prediction or record) in km/h,Stand. Reported Windspeed,Is there anything else you would like us to know about the wind or the weather in general?,Description of damage to webbing / anchors,"How was the line derigged? Cut, failed, normal derig?  ",Any other information?,Detape,Damage,Anchor Damage,Line Damage,Derig Method,Normal Derig,Cut,Failed,Failed Line,Failed Anchors,Control
4/30/2020 7:00:29,USA,31/12/2018,8:00,HRRR,48,83,65.5,71,101,86,23.888908,0,6880,80,No,,65,"In a large granite boulder field, across a canyon between one large boulder pile and a granite spire/blob",1.5,"Tantalus main, lift backup",Fibre-reinforced tape,Fibre,20,Brand new,3-6,4.5,,Main,"No backup loops at all and no, the backup was tensioned against the main line to prevent loops from getting caught in wind",1,"16:30, 31/12/2018","21:00, 31/12/2018","23:30, 31/12/2018","4:30, 01/01/2019","Did not witness (at night), only heard oscillations","Wind felt like it was picking up when we rigged, so tightened backup to prevent damage as we were planning to leave up overnight. Wind increased severely theough the night to what felt extremely strong, unable to stand up fully in the wind",Dangerous,75,110,110,"We expected there to be upwards of 60km/h wind that evening so we taped well with new fiber tape and tensioned the backup. We heard extremely loud oscillating sounds reminiscent of a helicopter around 5 hours after rigging after dark. Hiked to the line to observe chaotic oscillations and severe wind speeds at the anchor. It seemed that the small canyon acted like a funnel for the wind, increasing its speed at the line. Later found the wind to have been at least what was mentioned above. The line oscillated heavily in the wind for approx 7 hours (nobody could sleep due to extreme sound) until early morning when the lines snapped and the sound ceased.","Oh boy. Both main and backup webbing were utterly destroyed. Very few parts of each line didn't have extreme fraying, where some parts were completely frayed into individual threads, both lines were cut near first anchor. All of the static rope was frayed as well but only the sheath, with only a few parts of core exposed, all whoopie slings except a few were cut. All abrasion protection including two backpacks were either broken or melted off of the line and blown away. Sheath on one soft shackle actually melted. Weblock and shackles took considerable damage due to repetitive smashing into granite, and carved into a large section of the granite (can be seen in pictures). One weblock and shackle miraculously dissapeared. Main backup tie off eventually loaded an aluminum carabiner which was extremely damaged. All quick links on each bolt (4 bolts on each side) had significant cutting into the metal due to repetitive motion and tension. All bolts were placed the day before (sleeve bolts in very hard desert granite) and after the incident 6 out of 8 bolts were slightly loose and all hangers were able to be spun.",Cut due to wind,"This incident was the most severe of any wind related incident I have heard of, experienced, or even imagined. I took great care to place quality bolts, with most of the gear being brand new. The anchors were also padded extremely well with multiple types of abrasion protection securely fastened as we did predict heavy winds. The fact that the wind was able to break fiber tapes with the backup tensioned was very surprising. Also very surprising was the duration of the oscillations especially with how intense the wind was. Also, when we hiked up to the line at night, we noticed a 5m side sag, as well as the backup and main oscillating in opposition with an amplitude of about 5m as well, consistently.",1,Both,1,1,Failed,0,0,1,1,0,0
5/1/2020 18:00:11,France,28/06/2017,20:00,ICON,16,18,17,40,47,43.5,12.083343,1,2175,50,No,,50,Top of a wide east facing gully. Some trees and bushes.,2,unknown,,,,,,,,,,,"12:00, 28/06/2017","19:00, 28/06/2017",,,5 minutes,100 km/h,Dangerous,50,100,100,Very fast approaching stormcloud brought the weather. The highliners had a tough time coming out after the line was detaped. Very fast event.,Minimal,Normal,,1,None,0,0,Normal Derig,1,0,0,0,0,1
5/1/2020 18:08:34,France,28/06/2017,20:00,ICON,16,18,17,40,47,43.5,12.083343,1,4350,100,No,,50,Top of a wide east facing gully. Some trees and bushes.,2,Sonic/unknown,,,,,,,,,,,"12:00, 28/06/2017","19:00, 28/06/2017",,,5 minutes,100,Dangerous,50,100,100,"Very fast approaching stormcloud which brought the gust. Highliner didn't have time to get out before untaping, but made it out safely later",Spanset sheath cut on natural anchor side 2,Normal,,1,Anchor,1,0,Normal Derig,1,0,0,0,0,0
5/4/2020 17:16:02,United States,30/12/2018,17:00,HRRR,6,10,8,12,29,20.5,5.694449,1,2255,110,No,,35,"In a very shallow cove along a ridgeline. A ~35m cliff above a 300m sloping, tree covered mountainside",3,"Feather Pro main, T18 backup (backup was two pieces sewn together)",Fibre-reinforced tape,Fibre,18,Relatively new,4,4,,Backup,"Not very loopy, there was not much backup out as we had already pulled in the backup for wind",1,"11:00, 30/12/2018","14:00, 30/12/2018",,"17:00, 30/12/2018",We began derigging after witnessing the first tape or two break,,,,,,,"As two people attempted to derig the line, the webbing was pulled into the trees, eventually having had to be cut at a sewn connection point to get the line down.",Derigged (but lost control and ended up cutting),"We cut the line around 16:30, don't remember exact time of derigging",1,None,0,0,Normal Derig,1,0,0,0,0,1
5/10/2020 5:39:11,USA,26/04/2020,23:00,HRRR,57,61,59,78,87,82.5,22.916685,0,49500,600,Yes,Varied. Rigged on 4 pieces of 50 meter blue pieces to 4 pieces of 50 meter marathon to 1 piece of 200 meters half marathon. Backup was 4 pieces of half marathon on the blue. 4 Pieces of Blue on the Marathon. 1 piece of half marathon on the half marathon,120,It was in a canyon in the middle of the desert. ,4.5,"Main: Blue, Marathon, Half Marathon. Backup: Half Marathon, Blue, Half Marathon","Electrical tape (vinyl), Electrical Tape was wrapped 6 times and doubled 4 inches away from eachother",Electrical,19,New,7-10,8.5,,Backup,2 meters,2,"22:30, 24/04/2020",NA,"20:00, 26/04/2020","07:00, 27/04/2020",NA,30 mph ,Strong,51,77,77,This canyon gets very gusty and it is difficult to keep lines up here. The only reason I keep trying is because I live so close to the area. ,"Main line broke, Anchor rubbed edge and failed","After main line break, the line was slowly let down into the canyon with a long static rope",We no longer only use electrical tape. We now also add fiber tape on top of the electrical tape. I also no longer use giant saggy cheater loops. I have since made my loops slightly smaller in order to reduce surface area. ,1,Both,1,1,Failed,0,0,1,1,1,0
5/12/2020 2:47:52,United States,02/09/2018,14:00,HRRR,16,29,22.5,25,45,35,9.72223,0,7385,211,No,,40,On a coastal cliff going to an offshore island. Rigged off large spruce trees. ,3,Skypilot for both. ,Electrical tape (vinyl),Electrical,20,"Some reused, some new, only wrapped 2-4 times. ",5-7,6,,Backup,Standard saggy loop sizes? Nothing absurdly saggy. But one tape broke on the static island end creating a large loop which slowly started to unzip all the rest. ,2,"10:00, 01/09/2018","14:30, 02/09/2018","14:20, 02/09/2018","14:35, 02/09/2018",Just a few minuets. There was someone on the line while it was happening. ,"It was absolutely too windy. The line was nearly never still and always had consistent horizontal side sag. It didn’t feel dangerous at the time, just very challenging. ",Strong,,,,The wind was consistently coming from the north and hitting the line perpendicular. Skies were blue and beautiful but the wind during the middle of the day was relentless. ,"Nothing significant found. As soon as it started to happen, we padded everything we could and pulled in as much backup as we could. We just hoped for the best at the static side because it was unreachable at the time. ","Waited till the next morning and got up early when winds were calm, derigged as normal. Someone slid across the line to add a few tapes to help with pulling in the line, after the static side was deemed safe. ","We were told by locals that they could hear a loud noise coming from the beach from as far as 5 miles away. With the tension that the main had and not being controlled by any dampeners, it was extremely loud to around. ",1,None,0,0,Normal Derig,1,0,0,0,0,0
5/18/2020 22:49:41,switzerland,31/01/2019 - 01/09/2019,???????,,,,,,,,0,0,0,55,No,,6,"water midline, river in a forest, steep terrain around protecting from extreme winds",1,helium,Duct tape,,25,1-6 months,2-3 m,2.5,,Backup,"small, 20-30cm?",1,31/01/2019,,01/09/2019,,,,,,,,,no damage,normal derig,"the line was permanently rigged for 8 months, only a few times i had to replace a tape or two. the tapes were at small distance with small loops. no damage at all to main or backup during that period. i guess the line survived because of not extreme winds, tight taping, retaping when needed. no incident/no failing. hope to help you with this info by providing some comparison data.",0,,,,,,,,,,1
5/20/2020 22:56:50,Lebanon,25/10/2017,5:00,ICON,9,9,9,31,34,32.5,9.027785,0,13000,400,No,,212,forest canyon,4,Aero/Feather Pro,Electrical tape (vinyl),Electrical,16,New/taped that day,8,8,,Main,2 meters appx,2,unknown,unknown,,,,30 km/hr,Moderate,,,30,Wind picked up over night,"Damage on the backup, where it was wrapped around the mainline. Had to be retired from highline usage.",Normal,https://youtu.be/MMQEuM5EivY,1,Line,0,1,Normal Derig,1,0,0,0,0,0
5/20/2020 16:57:03,France,19/12/2019,11:00,ICON,24,27,25.5,52,60,56,15.555568,0,3360,60,No,,25,A half bowl cliff formation.,,MILF - Neon (slack.fr),Electrical tape (vinyl),Electrical,20,Electrical tape (vinyl),3-4,3.5,,Backup,Backup was to tight for the first run (walking main on backup). The gave an additional meter to the back up.,1,"6:00, 18/12/2019 ","10:30, 19/12/2019",,,"3 leashfalls, 5 minutes",Too Windy to go on the line and looked dangerous for the line,Dangerous,worldweatheronline : 12am 22km/h SE (not exact location), worldweatheronline:  33Km/h (not exact location),33,The wind is funneled into the spot ,No damage,had to let go of the webbing that then got blown into the nearby trees,"Don't rig a highline when you know it's not a good idea. AND don't go on a highline without a hangover. 
Pulling the tension in to the backup helped the person come back to the anchor.",1,None,0,0,Normal Derig,1,0,0,0,0,0
5/24/2020 10:56:29,Australia,05/10/2017,2:00,ICON,28,29,28.5,54,55,54.5,15.138901,0,17113,314,Yes,157,80,Quite an exposed V shaped gap / large gully,3.5,Feather Pro,Electrical tape (vinyl),Electrical,20,4 days (really 8),2-6,4,,Main,"Average, nothing too crazy all loops were variable length and sag due to mainslider. Jerry helped so everything was made as safe as possible. The ""split"" was infact a rope swing rig that attached to the backup webbing (two weblocks) and sat on the main (2 rings) the backup was tensioned during the night before it failed (small loops) the repeated rolling over the loops is theorised to have weakened them significantly. the classic one-two tape fails likely caused all the rest. ",2,"10:00, 01/10/2017 (28th Sept)","10:00, 04/10/2017 (5th 2am)",,"2:00, 05/10/2017",roughly 30min,"It was strong, but not too strong to slackline, tapes had been weakened by the excessive use of rollers for a rope swing off it",Strong,"Around 25km/hr very steady, no gusts",no gusts,25,,Webbing was fine on all points except minor abrading at the masterpoint of the ropeswing. purelocks attached to the backup webbing struck the mainline enough to cause maybe 20-30% strength loss. All other components fine,,"It is quite an unusual line fail. The tapping was done in an attempt to pre empt the failture due to the wind prone gully. ""super tapes"" an idea developed by chris wallace was used on the taping session to try add extra sticky surface area to every fourth tape. A super tape involves wrapping a second piece of tape around the first slider in a spiral pattern, adding more stickiness on the backup while passing though on the slider section on the main, so as to not create a fixed tape. 
A lack of maintenance and excessive hang-overing is likely to has caused this along with a constant change of tensions (a helicopter rescue of a nearby climber required lowering the line the night before, and the rope swing had us change the backup tension a fair few times)",1,Line,0,1,Normal Derig,1,0,0,0,0,0
5/27/2020 13:35:11,Australia,28/10/2017,20:00,ICON,19,21,20,55,58,56.5,15.694457,0,7345,130,No,,80,Cliff,1.5,Limelight,Electrical tape (vinyl),Electrical,20,"Mixed, some new. Most were ~6 months old","~3m, there was a bigger loop of about 6-10m",3,1,Backup,there was a bigger loop of about 6-10m gap,3,"09:00, 28/10/2017","12:00, 29/10/2017","19:05, 28/10/2017","15:00, 29/10/2017",,"50km/hr, too windy to slackling, dangerous",Dangerous,,,50,,Rope anchor on one side was cut through to core. Webbing was worn badly at a few points where the webbings were rubbing against each other from the wind.,"Soft release, and then used tag line to release the line and pull it in.",,1,Both,1,1,Normal Derig,1,0,0,0,0,0
6/11/2020 3:06:39,USA,09/06/2020,17:00,HRRR,26,28,27,36,36,36,10.000008,0,3600,100,No,,14,Flat grassland,8,Nova main / panda backup,Fibre-reinforced tape,Fibre,25,4 weeks. Had been used in two previous rigs,3-5,4,1,Main,Loops at standing tension had maybe .5m of sag,1,14:00 08/06/2020,16:00 09/06/2020,,Saved,From the time I noticed two tapes were broken it took maybe 10 minutes for another 6 tapes to break,The line had some side sag but nothing I had not walked on before,Moderate,19,23,,No damage,Soft release,Before rigging I noticed a couple tapes had usual wear and tear from people whipping/hangover use and abuse ***so I'd already been on the line and then I got off to get some food and water and then as I was walking back I noticed that I had few more tapes break so then I went inside to get tape and by the time I came back out more had already broken so I jugged up the one tree rolled out re-taped with electrical tape and could see a big storm coming in so I just decide to let it out in case the winds got even worse***,,1,None,0,0,Normal Derig,1,0,0,0,0,0
6/11/2020 5:03:15,USA,17/11/2017 ,14:00,ICON,47,47,47,85,86,85.5,23.750019,0,25650,300,No,,80,Indian Creek,1,T-18 on unicorn,Electrical tape (vinyl),Electrical,20,new,6-10,8,0,Backup,Quite big. Didnt see the whole breaking process. ,3,17:00 16/11/2017,13:00 17/11/2017,,12:45 19/11/2017,NA,Hard to walk on the side of the cliff. 100 km/h if i do recall. Big winds before the GGBY 2017.,Dangerous,Not sure but I do recall something like 70 mph,100 ish,100,"Main broke on the 2 sides. The bag around the anchor broke the main. The leashes on the other side also broke the main. We heard a big repeative whooopf. Ran to the line, I saw the backup up in the air probably 5-10 meters above the cliff. It broke when I saw it on the bag side. We had it clip at the weblock to pad the abrasion. My bag was done. 2 leashes were on the other side, one was really damaged and the other one we only found the rings with the knot. Also I'm pretty sure the rings were moving back and forth on the last 5 meters of the back up. No damage to the anchors and the ropes. Hardest BFK to undo.....",Failed,"It was the 300m bolted in 
Indian Creek. It was bolted by Dakota Collins, but I dont recall the location and the blog post about it.",,1,Line,0,1,Failed,0,0,1,1,0,0
6/11/2020 21:42:51,Australia,07/09/2017,23:00,ICON,22,22,22,39,41,40,11.11112,0,9000,225,No,,75,Quite an exposed V shaped gap / large gully,2,"Aero2 and Elefant (no weblocks on main rigged loop to loop, so tension got less over the time of the gathering)","Fibre-reinforced tape, Pretty sure it was jerrys tape but not 100%",Fibre,20,10 days,varying 3-6m I think,4.5,1,Backup,"normal sized loops ...there was one loop on the static side that started it  (maybe 10m, 1 or 2 tapes missing)",2,"17:00, 28/09/2017","22:00, 07/09/2017",,,"heard it start oscillating at around 10pm, so people made their way up there to maybe fix a tape but when they got there about 30min later it had at least half detaped (by the sound of it), so they decided to lower the line and derigg the next day ",probably 70kph during the day but max 40 when it detaped,Moderate,no higher than 20kph,no higher than 30kph,30,had survived days with relatively strong wind (incl the detaping of the 314),don't quite remember it was a new piece of aero but other than minor abrasion I don't remember anything,lowered at night derigged next day without wind and with light,well one more done.......,1,Line,0,1,Normal Derig,1,0,0,0,0,0
6/12/2020 1:38:19,Canada,21/09/2018,17:00,HRRR,35,37,36,79,81,80,22.22224,0,151520,1894,Yes,38 pieces of 50meters each,250,"In an open air mine, sharp rocks all around. ",6,Y2k,"Electrical tape (vinyl), Fibre-reinforced tape",Electrical,2,"Brand new, we tapes just before rigging. ",8-10,9,0,Backup,"Pretty big loops, with 8-10 meters between each tape. ",3,"17-09-2018, 12:00","21-09-2018, 16:30",,"21-09-2018, 17h20",,It felt way to windy to slackline. The wind was already too strong to slack at 12:00 that day. It was the craziest slackline I have ever witness. ,Dangerous,30km/h,70km/h,70,"We have chosen these specific anchors because of the terrain but also because they align perfectly with the dominant wind trajectory (north-west). That week, there was a hurricane in the USA that hit the east coast (hurricane Florence : https://www.google.com/search?q=ouragan+florence+2018&rlz=1C5CHFA_enCA903CA904&sxsrf=ALeKk03_pGj49Pm-OHcXOz60qXYVYD0JqA:1591917588406&tbm=isch&source=iu&ictx=1&fir=nPkNfkij6DIwFM%253A%252CHt3NijmJYzKI7M%252C_&vet=1&usg=AI4_-kTzy4EMv-1NjlpzD1tuPtpOL7EJwg&sa=X&ved=2ahUKEwiM1fiS8_rpAhVsQzABHRRdAHIQ_h0wFHoECA0QBQ&biw=1623&bih=865#imgrc=i59d286m5Fr9uM).

That hurricane brought winds from the south with powerful strenght. They were exactly perpendicular with the line, which made the situation much worse. 

Also, the bowl of the mine creates some kind of vortex, that accelerates the wind speed. At the bottom of the mine, there is no wind. But it seems like in the middle (where the webbing hangs, with about 60-100 meter sag), the wind is the strongest - this is an observation, an assumption. The webbing was upsagging on 1900 meters : pretty impressive, scary and sad at the same time. ","1. The tapes all broke and the main and backup started oscillating. 
2a. With the abrasion caused by the oscillation, one 50m section was cut. The tension was now on that backup section. 
or (hard to tell what happened first)
2b. The main line was cut directly at the anchor. The main and backup passed through a kootenay carriage that was attached to an anchor post. This post was used as an A frame. The main and backup were padded, but with the oscillation, they went unprotected. Then with the abrasion in the kootenay, this first mainline section was cut. 

During this time, with the main line breaking, the dynamometer got a back shock and smashed onto the anchor concrete blocks. The last measure we had was 20kN. 

3. Then, this first main line section that was cut got tangled and wrapped around the connection 50 meters away. This caused a second section of 50 meter to snap. 

4. This happened multiple times (5-10 times) until we knew that without our action, the line would simply snap it's way to the other anchor. ",We decided that we needed to cut the line in order to protect as much of the webbing as possible. ,,1,Both,1,1,Cut,0,1,1,1,0,0
6/14/2020 13:39:08,USA,3/2/2020,5:00,HRRR,27,39,33,53,61,57,15.833346,0,3420,60,No,,40,"granite cliffs in well known climbing area/tourist vista (Windy Point, Mt Lemmon)",,donkey (main)/Joker (backup),"Fibre-reinforced tape, zytron tape (Kappler Chemtape)",Other,48,"fiber tapes were 1-2 months old, zytron tape was new",2-4 meters,3,0,Main,1-3 meters,1,"morning, 2/2/2020 - 3/2/2020",did not detape,100% intact,did not fail,did not detape,15-45mph,Dangerous,unknown,55,55,foggy/high humidity during derig,none,"soft released, then webbing pulled in by hand, by running it through 2 opposing hangovers and capturing progress against the heavy wind using slip-knot in the webbing as a third hand.",,0,None,0,0,Normal Derig,1,0,0,0,0,1
6/15/2020 16:09:53,Usa,26/11/2016,20:00,ICON,7,8,7.5,26,27,26.5,7.361117,0,7950,300,No,,85,A cliffside bowl ,3,Lion by slackline Bc main. Backup was moonwalk by Slack.fr,Electrical tape (vinyl),Electrical,35,1 week,5,5,0,Backup,Backup loops were very small.  Less than 1m.  No problems occurred for our rig,1,"4:45,11/24/2016",,,N/a.,,30 km/hr,Strong,,30,30,,No damage occurred to rig. It was a voluntary derig to prevent damage from happening. ,NormL dddif,"We sessioned the line for two days, on the second afternoon strong gusts came in. The line was being elevated above the flushness of the canyon run. The alcove thermal air was pushing the line upwards. We quickly split up and worked to derig the line before tapes would break. When we were tagging the webbing back to the anchor the wind blew so strong that the webbing was over 10m above our head.",0,None,0,0,Normal Derig,1,0,0,0,0,1
6/24/2020 17:24:22,Norway,01/09/2018,17:00,ICON,17,18,17.5,46,57,51.5,14.305567,0,149350,2900,Yes,I don't remember how many pieces but each piece was of 50m,300,The line was over a lake that is situated like 400m above see level. One can see the see and the lake from the first anchor. Mountainous terrain.,5,y2k,Electrical tape (vinyl),Electrical,20,new,5-10,7.5,0,Main,1.5m sag I'ld say,,,,"16:40, 01/09/2018",,"Well, because of the setup, the lines were kept together with the quicklinks. But all the tapes tore apart after like 20 min","It feld like a windspeed of 100km/hr. Very strong wind, imposible for slacklining.",Dangerous,100km/hr,,100,"The forecast was good for the entire week, but it changed during the days we riged. We got good slacklining conditions only for 2 days. Then the wind came. The zone was known by the locals as a windy region. ",the webbing wasn't damaged at all. We took the line down because it reached forces up to 19kN measured by myself and a couple of friends that went to the line that day. All tapes were tore apart though.,normal derig,,1,None,0,0,Normal Derig,1,0,0,0,0,0
7/16/2020 3:03:22,United States,30/08/2019,16:45,HRRR,9,20,14.5,24,26,25,6.94445,0,3375,135,No,,70,"Miniature Canyon (Potrero John Trailhead, Ojai, CA)",3,Aero 2,Electrical tape (vinyl),Electrical,25,Cannot Recall,4-6,5,0,Main,"Not big, maybe dipped 1m below line",,30/08/2019,"16:45, 30/08/2019",,"17:15, 30/08/2019",20 or 30 minutes,Too windy to slackline. I slid back to the anchor after crossing 1.5 lengths.,Strong,,"50, estimated",50,,Backup line was cut into about ~5mm on the pillowed edge due to pulling the backup that was wrapped around mainline.,"We had a soft release on the mainline, but needed to take off the backup, since it had about a 100m loop and we were unable to undo the soft shackle connecting it to the anchor. When there was a break in the wind, the backup was disconnected and pulled to the tension side anchor before derigging the mainline. This is what damaged the backup line (friction of pulling in the backup while it was wrapped around the main line).","The damage was primarily due to the unconventional way of derigging, pulling in the backup. I was in the middle of the gap on my way to the static side with a knife just in case. Tension side riggers were unsure what to do and pulled in the backup.",1,Line,0,1,Normal Derig,1,0,0,0,0,0
9/6/2020 2:33:22,USA,30/09/2020,8:00,HRRR,22,28,25,30,37,33.5,9.305563,0,14237.5,425,Yes,"Y2K 50m sections, 8 sections",120,"canyon, along a river bend",1.25,Y2K,Fibre-reinforced tape,Fibre,25,"newish, used a couple times",5-6,5.5,0,Backup,a couple feet. we did not have any tapes break,2,10:00 29/09/2020,NA,NA,10:00 30/09/2020,NA,"35mph, definitely too windy",Strong,35mph,,56,"very windy conditions beginning of the day during rig, slight showers, and a single lightning strike that hit the hillside about 200m above the far side anchor, calm end of day",none,normal derig,"HI! Phillip Queen wanted me to submit this info. Nothing bad happened because of the rig except for not being good walking conditions. We had a dyno on the line, and recorded a peak of 5.5kN during a strong wind gust. standing tension with no one on the line was about 1.25-1.5kN. I took a force log with time during a wind gusts, and I would like to send over the data to you. Unfortunately I did not catch the 5.5kN gust, but I got a gust that brought the line to 3.4kN. I will email the raw .csv file to the email.",0,None,0,0,Normal Derig,0,0,0,0,0,1